r,g(r)
0.0,
0.0010008683839390362,0.0
0.0020017367678780724,0.0
0.003002605151817109,0.0
0.004003473535756145,0.0
0.005004341919695182,0.0
0.006005210303634218,0.0
0.007006078687573253,0.0
0.00800694707151229,0.0
0.009007815455451327,0.0
0.010008683839390364,0.0
0.011009552223329399,0.0
0.012010420607268436,0.0
0.013011288991207471,0.0
0.014012157375146507,0.0
0.015013025759085545,0.0
0.01601389414302458,0.0
0.017014762526963614,0.0
0.018015630910902653,0.0
0.01901649929484169,0.0
0.020017367678780727,0.0
0.021018236062719763,0.0
0.022019104446658798,0.0
0.023019972830597837,0.0
0.024020841214536872,0.0
0.025021709598475907,0.0
0.026022577982414943,0.0
0.027023446366353978,0.0
0.028024314750293013,0.0
0.02902518313423205,0.0
0.03002605151817109,0.0
0.031026919902110126,0.0
0.03202778828604916,0.0
0.03302865666998819,0.0
0.03402952505392723,0.0
0.03503039343786627,0.0
0.036031261821805306,0.0
0.03703213020574434,0.0
0.03803299858968338,0.0
0.03903386697362241,0.0
0.040034735357561455,0.0
0.04103560374150049,0.0
0.042036472125439525,0.0
0.04303734050937856,0.0
0.044038208893317596,0.0
0.04503907727725663,0.0
0.04603994566119567,0.0
0.04704081404513471,0.0
0.048041682429073744,0.0
0.04904255081301278,0.0
0.050043419196951815,0.0
0.05104428758089085,0.0
0.052045155964829885,0.0
0.05304602434876892,0.0
0.054046892732707956,0.0
0.05504776111664699,0.0
0.05604862950058603,0.0
0.05704949788452506,0.0
0.0580503662684641,0.0
0.059051234652403146,0.0
0.06005210303634218,0.0
0.06105297142028122,0.0
0.06205383980422025,0.0
0.06305470818815928,0.0
0.06405557657209832,0.0
0.06505644495603735,0.0
0.06605731333997639,0.0
0.06705818172391542,0.0
0.06805905010785446,0.0
0.06905991849179349,0.0
0.07006078687573254,0.0
0.07106165525967158,0.0
0.07206252364361061,0.0
0.07306339202754965,0.0
0.07406426041148868,0.0
0.07506512879542772,0.0
0.07606599717936675,0.0
0.07706686556330579,0.0
0.07806773394724482,0.0
0.07906860233118386,0.0
0.08006947071512291,0.0
0.08107033909906194,0.0
0.08207120748300098,0.0
0.08307207586694001,0.0
0.08407294425087905,0.0
0.08507381263481809,0.0
0.08607468101875712,0.0
0.08707554940269616,0.0
0.08807641778663519,0.0
0.08907728617057423,0.0
0.09007815455451326,0.0
0.09107902293845231,0.0
0.09207989132239135,0.0
0.09308075970633038,0.0
0.09408162809026942,0.0
0.09508249647420845,0.0
0.09608336485814749,0.0
0.09708423324208652,0.0
0.09808510162602556,0.0
0.0990859700099646,0.0
0.10008683839390363,0.0
0.10108770677784266,0.0
0.1020885751617817,0.0
0.10308944354572074,0.0
0.10409031192965977,0.0
0.1050911803135988,0.0
0.10609204869753784,0.0
0.10709291708147689,0.0
0.10809378546541591,0.0
0.10909465384935496,0.0
0.11009552223329398,0.0
0.11109639061723303,0.0
0.11209725900117205,0.0
0.1130981273851111,0.0
0.11409899576905012,0.0
0.11509986415298917,0.0
0.1161007325369282,0.0
0.11710160092086724,0.0
0.11810246930480629,0.0
0.11910333768874531,0.0
0.12010420607268436,0.0
0.12110507445662338,0.0
0.12210594284056243,0.0
0.12310681122450146,0.0
0.1241076796084405,0.0
0.12510854799237953,0.0
0.12610941637631856,0.0
0.1271102847602576,0.0
0.12811115314419663,0.0
0.1291120215281357,0.0
0.1301128899120747,0.0
0.13111375829601377,0.0
0.13211462667995277,0.0
0.13311549506389184,0.0
0.13411636344783084,0.0
0.1351172318317699,0.0
0.13611810021570891,0.0
0.13711896859964798,0.0
0.13811983698358699,0.0
0.13912070536752605,0.0
